income_1999,income_2001,income_2003,income_2005,income_2007,income_2009,consumption_1999,consumption_2001,consumption_2003,consumption_2005,consumption_2007,consumption_2009,wealth_1999,wealth_2001,wealth_2003,wealth_2005,wealth_2007,wealth_2009,age_1999,age_2001,age_2003,age_2005,age_2007,age_2009
-0.1551206,-0.0867171,0.313414,0.3079304,-0.0147253,-0.2668701,-0.7331377,0.0261189,-0.3169557,-0.2752086,-0.2053204,-0.3234883,-0.7331377,0.0261189,-0.3169557,-0.2752086,-0.2053204,-0.3234883,40,42,44,46,48,50
-0.5490537,-0.5278936,-0.4857855,-1.100998,-0.5610473,-0.1696285,-0.1626744,-0.0004515,-0.2826387,-0.3511592,-0.3059726,0.0092873,-0.1626744,-0.0004515,-0.2826387,-0.3511592,-0.3059726,0.0092873,36,38,40,42,44,46
-0.4785468,-0.3557717,-0.2387435,-0.2975108,0.5128902,0.1713142,-0.238343,0.2981064,0.3033268,0.4334795,0.1594794,0.2793148,-0.238343,0.2981064,0.3033268,0.4334795,0.1594794,0.2793148,49,51,53,55,57,59
-0.19093,-0.4481686,-0.2329071,-0.3237589,-0.0746994,-0.1434641,-0.3687316,-0.1817973,-0.397589,-0.3359378,-0.1677069,0.2219444,-0.3687316,-0.1817973,-0.397589,-0.3359378,-0.1677069,0.2219444,36,38,40,42,44,46
-0.3743463,-0.1766333,-0.207294,0.3041396,0.0916667,0.2549148,-0.5451991,-0.2869749,-0.0610062,-0.1726805,0.0014651,-0.012037,-0.5451991,-0.2869749,-0.0610062,-0.1726805,0.0014651,-0.012037,47,49,51,53,55,57
-0.1079388,0.0480499,0.1724424,0.0544405,0.1077339,-0.0544587,-0.3370773,-0.2156374,-0.382805,-0.2717413,-0.0720484,0.1275659,-0.3370773,-0.2156374,-0.382805,-0.2717413,-0.0720484,0.1275659,40,42,44,46,48,50
-0.5547225,-0.6151743,0.1779347,-0.2242154,-0.1255623,0.101067,-0.5365779,-0.1091851,0.061639,0.0768577,0.2294476,-0.1237744,-0.5365779,-0.1091851,0.061639,0.0768577,0.2294476,-0.1237744,31,33,35,37,39,41
-0.121446,0.1012799,0.1853682,0.1231285,0.2199036,0.1428152,-0.3631474,-0.086559,-0.0021244,0.1946577,0.4095653,0.3824781,-0.3631474,-0.086559,-0.0021244,0.1946577,0.4095653,0.3824781,38,40,42,44,46,48
0.0978261,0.112157,-0.2891843,-0.0656209,-0.0112595,-0.0424583,-0.6235622,-0.496177,-0.5235368,-0.4919341,0.164309,-0.1044406,-0.6235622,-0.496177,-0.5235368,-0.4919341,0.164309,-0.1044406,41,43,45,47,49,51
0.0925258,0.294474,0.3459038,0.0106062,-0.0960562,0.1422583,-0.1222172,-0.2135572,-0.0961187,0.3601516,0.6171501,0.0429794,-0.1222172,-0.2135572,-0.0961187,0.3601516,0.6171501,0.0429794,46,48,50,52,54,56
-0.0625407,-0.0493904,-0.6230055,-0.14984,-0.0801102,-0.0069039,0.0673016,-0.1482805,0.1672677,0.3735417,0.4809671,0.3202833,0.0673016,-0.1482805,0.1672677,0.3735417,0.4809671,0.3202833,35,37,39,41,43,45
0.5213332,0.6470103,0.4330449,0.3192392,0.60813,0.7285447,0.154662,0.2840813,0.2224024,0.2806471,0.224407,0.1932514,0.154662,0.2840813,0.2224024,0.2806471,0.224407,0.1932514,39,41,43,45,47,49
-0.2829303,-0.3423712,-0.2391438,-0.2009491,-0.7360205,-0.010658,-0.1364554,0.312393,0.258836,0.24391,0.1214392,0.0894324,-0.1364554,0.312393,0.258836,0.24391,0.1214392,0.0894324,41,43,45,47,49,51
-0.403349,-0.2723561,-0.064786,-0.4294558,-0.1050588,0.0351819,-0.6103961,-0.0449473,0.052192,0.128836,0.226827,0.0925448,-0.6103961,-0.0449473,0.052192,0.128836,0.226827,0.0925448,33,35,37,39,41,43
-0.3291549,-0.133526,-0.4314586,-0.1905296,-0.9233625,-1.651589,-0.5800085,-0.4213549,-0.5718698,-0.5194695,-0.2203219,-0.2083864,-0.5800085,-0.4213549,-0.5718698,-0.5194695,-0.2203219,-0.2083864,41,43,45,47,49,51
-0.2250724,0.079119,0.0674709,0.2123445,0.2927841,0.3572905,-0.2055987,-0.1938495,-0.0622334,-0.0693869,-0.1409058,0.18392,-0.2055987,-0.1938495,-0.0622334,-0.0693869,-0.1409058,0.18392,30,32,34,36,38,40
-0.3274805,-0.3519185,-0.5370372,-0.5317863,-0.5372623,-0.5692447,-0.2861995,-0.0465701,0.2840567,0.3746558,0.3435765,-0.0220473,-0.2861995,-0.0465701,0.2840567,0.3746558,0.3435765,-0.0220473,43,45,47,49,51,53
0.2494968,0.109361,-0.3946568,0.0480909,-0.0866787,-0.3506634,-0.0208576,-0.1506918,-0.0562037,0.3510535,0.6031782,0.2685017,-0.0208576,-0.1506918,-0.0562037,0.3510535,0.6031782,0.2685017,40,42,44,46,48,50
-0.0978738,-0.0511655,-0.3674108,-0.1799928,-0.1460782,-0.2711555,-0.265899,-0.0999484,0.0155706,-0.1496048,-0.2742377,-0.6954699,-0.265899,-0.0999484,0.0155706,-0.1496048,-0.2742377,-0.6954699,49,51,53,55,57,59
0.0139756,0.1597399,0.1429028,-0.0181804,0.0723156,-0.0449709,-0.0358268,-0.0780507,-0.2217704,0.0249471,0.1422013,-0.1231396,-0.0358268,-0.0780507,-0.2217704,0.0249471,0.1422013,-0.1231396,36,38,40,42,44,46
0.205578,0.2282992,0.3353777,0.3909207,0.3982685,0.3572004,-0.3233051,-0.3543645,-0.1082908,0.3531264,0.0147675,-0.0705864,-0.3233051,-0.3543645,-0.1082908,0.3531264,0.0147675,-0.0705864,29,31,33,35,37,39
-0.2761889,-0.2089471,-0.7063589,-0.5090576,0.2274191,-0.5314882,-0.121668,-0.2081433,0.2841358,-0.042454,0.0514425,0.3735565,-0.121668,-0.2081433,0.2841358,-0.042454,0.0514425,0.3735565,46,48,50,52,54,56
-1.312441,-0.5789671,-0.9153225,-0.4415177,-0.1504798,-0.1179195,-0.0697881,0.0535143,-0.4095716,-0.1395676,0.2442955,0.2058672,-0.0697881,0.0535143,-0.4095716,-0.1395676,0.2442955,0.2058672,48,50,52,54,56,58
0.0177268,-0.0498422,0.1462174,0.2685652,0.0135585,0.1506902,-0.2171692,0.0409427,0.1340633,0.2080971,0.3392005,0.0757623,-0.2171692,0.0409427,0.1340633,0.2080971,0.3392005,0.0757623,26,28,30,32,34,36
-0.4191161,-0.3070982,-0.1338142,-0.3804295,0.0212639,0.1163017,-0.1062767,-0.0162858,0.1140971,0.4596575,0.3589607,0.058163,-0.1062767,-0.0162858,0.1140971,0.4596575,0.3589607,0.058163,42,44,46,48,50,52
-0.3112739,-0.304746,-0.1893559,-0.3628244,-0.6964669,-0.7146198,-0.0304915,-0.1567048,-0.3975446,-0.2797466,-0.1742505,-0.1952688,-0.0304915,-0.1567048,-0.3975446,-0.2797466,-0.1742505,-0.1952688,41,43,45,47,49,51
-0.6553522,-0.3989664,-0.3816493,-0.3562954,-0.3452632,-0.0814098,-0.2427459,-0.1302133,-0.0250049,0.0683996,0.0319902,-0.1305895,-0.2427459,-0.1302133,-0.0250049,0.0683996,0.0319902,-0.1305895,44,46,48,50,52,54
-0.602254,-0.7469035,-0.756528,-0.6857318,-0.5588269,-0.2781292,-0.7055193,-0.7541006,-0.4264658,-0.2933995,-0.3281603,-0.2031314,-0.7055193,-0.7541006,-0.4264658,-0.2933995,-0.3281603,-0.2031314,40,42,44,46,48,50
0.1522272,0.0334607,-0.5902148,-0.8021374,0.0490846,-0.2214094,-0.08538,0.0662779,0.0033274,0.4275962,0.2394343,-0.4261638,-0.08538,0.0662779,0.0033274,0.4275962,0.2394343,-0.4261638,48,50,52,54,56,58
0.7078834,0.5937716,0.5870682,0.5490843,0.8894736,0.3766421,-0.0024407,0.3710161,0.4005438,0.5451911,0.9800218,0.2642644,-0.0024407,0.3710161,0.4005438,0.5451911,0.9800218,0.2642644,32,34,36,38,40,42
0.2555067,0.5291044,0.276473,0.5079584,0.3251076,0.0151501,0.32493,0.2970493,-0.0094407,0.1468322,-0.1030867,-0.087292,0.32493,0.2970493,-0.0094407,0.1468322,-0.1030867,-0.087292,39,41,43,45,47,49
-0.3119571,-0.3437382,-0.7817551,0.0635016,-0.0731369,0.1725936,-0.3702717,-0.6617978,-0.3432341,0.0628881,-0.4913925,-0.1297771,-0.3702717,-0.6617978,-0.3432341,0.0628881,-0.4913925,-0.1297771,39,41,43,45,47,49
-0.1629039,-0.0690691,-0.1136562,0.0143822,0.1437751,0.0074292,0.0406495,0.029295,-0.1403963,0.1902247,0.6283169,0.2124565,0.0406495,0.029295,-0.1403963,0.1902247,0.6283169,0.2124565,39,41,43,45,47,49
0.5338609,-0.5248234,0.4559362,0.3159034,-0.4311383,0.1962478,0.1521219,0.023745,0.0283655,0.2102465,0.3082032,0.3599076,0.1521219,0.023745,0.0283655,0.2102465,0.3082032,0.3599076,47,49,51,53,55,57
-0.5284585,-0.7985257,-0.6855248,-0.2605084,0.2182962,0.6388084,-0.6680306,-0.4875257,-0.5257691,-0.184407,0.0291989,0.0791285,-0.6680306,-0.4875257,-0.5257691,-0.184407,0.0291989,0.0791285,25,27,29,31,33,35
-0.3306859,-0.1864787,0.1591131,0.183799,0.194525,0.2590337,-0.365257,0.2851604,0.2293235,0.3650094,-0.0591515,-0.3035676,-0.365257,0.2851604,0.2293235,0.3650094,-0.0591515,-0.3035676,49,51,53,55,57,59
1.0214,1.601365,0.304864,1.088957,1.07268,1.125808,0.4882289,0.5338914,0.6776076,0.7643796,0.7835465,0.7175846,0.4882289,0.5338914,0.6776076,0.7643796,0.7835465,0.7175846,40,42,44,46,48,50
-1.049859,-0.2217753,-0.1913304,-0.4571184,-0.7453293,-1.243353,-0.0724776,-0.2802713,-0.1291884,-0.1716441,-0.2066869,-0.4562081,-0.0724776,-0.2802713,-0.1291884,-0.1716441,-0.2066869,-0.4562081,45,47,49,51,53,55
-0.4308931,-0.2626554,-0.3402883,-0.169339,-0.1997211,-0.2077796,0.1421656,-0.1327033,-0.1877494,-0.1249626,-0.1041019,0.0177013,0.1421656,-0.1327033,-0.1877494,-0.1249626,-0.1041019,0.0177013,49,51,53,55,57,59
0.0167768,0.0114677,0.163932,0.1319228,0.1235505,-0.2793284,-0.3439371,-0.0170233,0.1497646,0.1294856,0.1876741,-0.3426695,-0.3439371,-0.0170233,0.1497646,0.1294856,0.1876741,-0.3426695,45,47,49,51,53,55
-0.432753,-0.9636682,-0.6385654,-0.645484,-0.6548481,-0.3481043,-0.2487668,0.1325846,-0.0719862,-0.1529875,-0.793771,-0.5110912,-0.2487668,0.1325846,-0.0719862,-0.1529875,-0.793771,-0.5110912,32,34,36,38,40,42
-0.6674101,-0.2478079,-0.0196185,-0.3138973,-0.2306539,-0.2697459,-0.2675284,-0.3804444,-0.0392408,-0.0579746,0.1315176,0.7429697,-0.2675284,-0.3804444,-0.0392408,-0.0579746,0.1315176,0.7429697,25,27,29,31,33,35
-0.2171276,-0.188632,0.1801558,0.2253676,0.3361903,0.1566716,-0.2563621,-0.2109378,0.0847385,0.1884687,0.2413909,0.3694465,-0.2563621,-0.2109378,0.0847385,0.1884687,0.2413909,0.3694465,32,34,36,38,40,42
-0.7640881,0.156385,0.0806398,-0.767459,-0.3814995,-1.618236,-0.5489832,-0.0552421,-0.5962897,-0.4546888,-0.6485736,-0.7483791,-0.5489832,-0.0552421,-0.5962897,-0.4546888,-0.6485736,-0.7483791,42,44,46,48,50,52
-0.1652678,0.2102557,0.18988,0.0520626,-0.1897072,0.3817983,-0.0606605,-0.0942746,0.1144343,0.5654221,0.3589411,0.2527657,-0.0606605,-0.0942746,0.1144343,0.5654221,0.3589411,0.2527657,27,29,31,33,35,37
0.0862808,0.0360966,-0.1158295,-0.0904997,-0.3384845,-0.1581772,-0.2197505,-0.2067033,-0.3037091,-0.2535136,-0.2386894,-0.1044788,-0.2197505,-0.2067033,-0.3037091,-0.2535136,-0.2386894,-0.1044788,36,38,40,42,44,46
-0.0052604,-0.1505508,-0.1950008,-0.126034,-0.0969145,-0.185404,0.0797598,-0.0552491,0.0210742,0.4479798,0.1577176,-0.0283004,0.0797598,-0.0552491,0.0210742,0.4479798,0.1577176,-0.0283004,49,51,53,55,57,59
0.1521398,0.3222352,0.0989505,0.3992511,0.3623535,0.3637325,0.3179427,0.2723771,0.3873473,0.3435763,0.6028021,0.1895693,0.3179427,0.2723771,0.3873473,0.3435763,0.6028021,0.1895693,36,38,40,42,44,46
-0.0181544,0.0712287,0.1321914,-0.2248834,0.1075875,0.0760705,-0.436139,0.0966493,0.7471449,0.3177959,0.3575222,0.1924869,-0.436139,0.0966493,0.7471449,0.3177959,0.3575222,0.1924869,47,49,51,53,55,57
0.6762568,0.6882646,0.7788503,0.7353814,0.6805625,0.6148019,-0.2917708,-0.545643,-0.2973586,0.0274081,0.2834745,-0.1098026,-0.2917708,-0.545643,-0.2973586,0.0274081,0.2834745,-0.1098026,42,44,46,48,50,52
0.2514236,0.4779299,0.4279219,0.5580994,0.6230847,0.5814215,-0.0844206,0.0630308,0.5617383,0.2883837,0.2511208,0.2194435,-0.0844206,0.0630308,0.5617383,0.2883837,0.2511208,0.2194435,49,51,53,55,57,59
0.5051538,-0.6897448,-0.6988209,-0.8566768,-0.8674598,-0.4902398,0.2547575,-0.1376852,-0.0555319,-0.1376089,0.1317623,0.5027246,0.2547575,-0.1376852,-0.0555319,-0.1376089,0.1317623,0.5027246,45,47,49,51,53,55
0.4356532,0.573652,0.7474498,0.732846,0.0771129,-0.0312074,-0.4200519,-0.036442,0.014762,0.4585197,0.268214,-0.0643952,-0.4200519,-0.036442,0.014762,0.4585197,0.268214,-0.0643952,50,52,54,56,58,60
0.1908013,0.2525194,0.7268857,0.4644081,0.33002,0.3496629,0.4764446,0.4118015,0.5345007,0.7611613,0.7618425,0.5192916,0.4764446,0.4118015,0.5345007,0.7611613,0.7618425,0.5192916,44,46,48,50,52,54
0.8939323,1.13546,0.7242694,0.673326,0.8253683,0.7678112,-0.1309767,0.0129548,-0.3068582,0.5765326,0.4109426,-0.2015614,-0.1309767,0.0129548,-0.3068582,0.5765326,0.4109426,-0.2015614,45,47,49,51,53,55
-0.8904048,-0.1979034,0.075541,-0.1591324,-0.184062,0.1776209,0.2328597,-0.0237769,0.6024221,0.3917374,0.2537995,0.1278362,0.2328597,-0.0237769,0.6024221,0.3917374,0.2537995,0.1278362,38,40,42,44,46,48
0.04475,0.4202796,0.2487021,-0.1699248,0.2227594,0.152852,-0.143648,0.3213604,0.4889515,0.639155,0.1863287,0.24,-0.143648,0.3213604,0.4889515,0.639155,0.1863287,0.24,44,46,48,50,52,54
-0.1908633,0.0546697,0.0519708,-0.0134112,-0.0528475,0.1445384,-0.4650788,0.1082445,-0.1641087,0.17339,-0.1065881,-0.1675202,-0.4650788,0.1082445,-0.1641087,0.17339,-0.1065881,-0.1675202,39,41,43,45,47,49
-0.6712067,0.8004285,0.3068781,1.01969,0.5297158,0.3253994,0.2536387,0.6592676,0.4287581,0.7512829,0.9429762,0.629341,0.2536387,0.6592676,0.4287581,0.7512829,0.9429762,0.629341,42,44,46,48,50,52
0.5863578,0.5644721,0.5595839,0.4919293,0.4809287,0.3157772,0.2187521,0.1279049,-0.0966499,0.4873478,0.3829243,0.1116145,0.2187521,0.1279049,-0.0966499,0.4873478,0.3829243,0.1116145,48,50,52,54,56,58
0.2704305,0.0019502,0.3093345,0.3400122,0.0813595,0.6146485,-0.0083005,0.2478268,0.2561237,0.5122744,0.7421796,0.4189669,-0.0083005,0.2478268,0.2561237,0.5122744,0.7421796,0.4189669,28,30,32,34,36,38
0.1723076,0.3856646,0.3037687,0.1371685,0.0967937,0.1190105,-0.2272759,0.0753822,0.1083268,-0.0658952,0.0538987,-0.0176679,-0.2272759,0.0753822,0.1083268,-0.0658952,0.0538987,-0.0176679,41,43,45,47,49,51
-0.6427929,-0.0985693,-0.1292413,-0.1587069,0.1535127,0.11674,-0.1959753,0.2166056,-0.0083575,0.2452593,0.0255572,0.0704743,-0.1959753,0.2166056,-0.0083575,0.2452593,0.0255572,0.0704743,26,28,30,32,34,36
-0.7284579,-0.2601161,-0.0713096,-0.1032157,-0.1026635,-0.2098098,-0.6828441,-0.42912,-0.1614675,-0.0207204,-0.0706682,-0.1749267,-0.6828441,-0.42912,-0.1614675,-0.0207204,-0.0706682,-0.1749267,37,39,41,43,45,47
-0.0262331,0.2253525,-0.1123836,-0.0998314,0.0788986,-0.1631411,-0.3147907,-0.2430432,-0.393699,0.0025479,0.3419106,0.2333128,-0.3147907,-0.2430432,-0.393699,0.0025479,0.3419106,0.2333128,29,31,33,35,37,39
-0.2994269,-0.2270717,-0.0196418,0.0451852,-0.169132,-0.0163921,-0.1948501,-0.1685086,-0.1977273,0.0326461,-0.1655524,0.1233267,-0.1948501,-0.1685086,-0.1977273,0.0326461,-0.1655524,0.1233267,42,44,46,48,50,52
0.1346602,-0.9011047,0.6039929,0.4862987,0.0547687,-0.5769967,-0.1586922,-0.1299305,0.34853,0.3731729,0.2265512,0.1071051,-0.1586922,-0.1299305,0.34853,0.3731729,0.2265512,0.1071051,25,27,29,31,33,35
-0.2773936,0.596275,1.674226,0.0944153,-0.3470252,-1.147605,-0.4032386,0.2582738,-0.0935529,0.5074717,0.6585919,0.1874911,-0.4032386,0.2582738,-0.0935529,0.5074717,0.6585919,0.1874911,50,52,54,56,58,60
-0.1766082,-0.0567323,0.2898597,0.3882007,0.0999889,-0.20216,-0.1177344,-0.0472207,0.0973754,0.1602778,0.1213717,-0.2148576,-0.1177344,-0.0472207,0.0973754,0.1602778,0.1213717,-0.2148576,36,38,40,42,44,46
0.420369,0.4698228,0.5917453,0.455223,0.4389457,0.4713763,0.0822834,0.0317778,0.1812233,0.3306889,0.2471384,0.1790861,0.0822834,0.0317778,0.1812233,0.3306889,0.2471384,0.1790861,32,34,36,38,40,42
0.4927841,0.496718,0.3578152,0.0460095,-0.0871807,0.157968,0.4452531,0.3089463,0.5734125,0.4086977,0.5216881,0.3804575,0.4452531,0.3089463,0.5734125,0.4086977,0.5216881,0.3804575,35,37,39,41,43,45
0.1495796,0.1687809,0.1250368,0.2703758,0.3678271,0.2093503,0.0729907,0.5947707,0.5274222,0.8382876,0.7688038,0.6418905,0.0729907,0.5947707,0.5274222,0.8382876,0.7688038,0.6418905,34,36,38,40,42,44
-0.329045,-0.4539391,-0.2214901,-0.2075054,-0.2634234,-1.327858,0.1533411,-0.0430445,-0.1147573,0.6981595,0.57131,-0.0033245,0.1533411,-0.0430445,-0.1147573,0.6981595,0.57131,-0.0033245,45,47,49,51,53,55
0.1130079,-0.0034004,0.1843646,0.1007341,0.4104875,0.3737148,-0.1695513,-0.2337552,-0.1848985,0.0440577,-0.245618,-0.1450769,-0.1695513,-0.2337552,-0.1848985,0.0440577,-0.245618,-0.1450769,47,49,51,53,55,57
-0.1738189,-0.0330698,-0.0395772,-0.0444154,-0.1291017,-0.1382024,-0.4232518,-0.4727998,-0.0371063,0.2236649,-0.0035439,-0.3506322,-0.4232518,-0.4727998,-0.0371063,0.2236649,-0.0035439,-0.3506322,45,47,49,51,53,55
0.2334718,0.1034953,0.3280141,0.2673633,-0.1343639,0.0790474,-0.2069126,-0.3753736,0.0140364,-0.1008098,-0.3221174,-0.1828237,-0.2069126,-0.3753736,0.0140364,-0.1008098,-0.3221174,-0.1828237,41,43,45,47,49,51
0.1945024,0.3191981,0.3787068,0.0273732,0.2018725,0.44824,-0.1849436,-0.0084821,0.0590261,0.3463062,0.300561,0.3338909,-0.1849436,-0.0084821,0.0590261,0.3463062,0.300561,0.3338909,47,49,51,53,55,57
0.1810927,0.0211094,0.2853316,0.1802644,0.1658189,-0.0233052,0.0014441,-0.22513,-0.1357898,-0.0348482,0.0823178,0.5454795,0.0014441,-0.22513,-0.1357898,-0.0348482,0.0823178,0.5454795,45,47,49,51,53,55
-0.1111919,-0.1384174,0.2180624,0.279847,0.5497329,-0.033727,-0.9766841,-0.3711219,-0.2655305,0.4327274,0.2990268,0.4104703,-0.9766841,-0.3711219,-0.2655305,0.4327274,0.2990268,0.4104703,25,27,29,31,33,35
-0.3540246,-0.2563131,-0.1617769,-0.2893347,-0.1983285,-0.2138276,-0.427095,0.0060038,0.1570141,0.094132,-0.0555583,-0.3112565,-0.427095,0.0060038,0.1570141,0.094132,-0.0555583,-0.3112565,49,51,53,55,57,59
0.07755,0.0534154,0.2641553,0.3046836,0.3900965,0.4742764,-0.4049572,-0.1787848,0.1494727,0.0950656,0.2187581,0.0913205,-0.4049572,-0.1787848,0.1494727,0.0950656,0.2187581,0.0913205,26,28,30,32,34,36
-1.027923,-0.8391598,-0.4644841,0.1052247,-0.2689561,-0.0039424,-0.7927145,-0.2219157,0.5454335,0.0204186,-0.153317,-0.2898421,-0.7927145,-0.2219157,0.5454335,0.0204186,-0.153317,-0.2898421,27,29,31,33,35,37
0.323583,0.1972183,0.2521452,0.189815,0.4326319,0.299662,0.2571434,0.3350834,0.1509203,0.3028225,0.4050936,0.1648125,0.2571434,0.3350834,0.1509203,0.3028225,0.4050936,0.1648125,40,42,44,46,48,50
-0.1853282,-0.3910567,-0.3840321,-0.3274887,-0.3826054,-0.7157342,-0.6995233,-0.6012471,-0.6632819,-0.3478989,-0.2078757,-0.7128167,-0.6995233,-0.6012471,-0.6632819,-0.3478989,-0.2078757,-0.7128167,28,30,32,34,36,38
0.4442131,0.8246243,0.4465943,-0.8216925,0.6936893,0.4938098,-0.5907599,-0.1600672,-0.1984436,-0.0537271,-0.2901249,-0.4675712,-0.5907599,-0.1600672,-0.1984436,-0.0537271,-0.2901249,-0.4675712,49,51,53,55,57,59
-1.02113,-0.5185516,-0.6619261,-0.5772112,-0.0842131,-0.2887819,-0.2255827,-0.4920734,-0.1579307,-0.0912068,0.3493344,0.0304477,-0.2255827,-0.4920734,-0.1579307,-0.0912068,0.3493344,0.0304477,28,30,32,34,36,38
-0.4805163,-0.5949114,-0.4772051,-0.289365,-0.5830166,-0.3807413,-0.7686707,-0.6207454,-0.2822883,-0.1679657,0.0912373,-0.1941411,-0.7686707,-0.6207454,-0.2822883,-0.1679657,0.0912373,-0.1941411,42,44,46,48,50,52
-0.1919265,-0.4386029,-1.635406,-0.9359931,-0.4400701,-0.7658768,-0.3029306,-0.1304875,-0.2766713,-0.3099634,-0.4267828,-0.7837026,-0.3029306,-0.1304875,-0.2766713,-0.3099634,-0.4267828,-0.7837026,35,37,39,41,43,45
0.2671483,0.4779456,0.3639039,0.455736,0.7109602,0.3571824,-0.6054471,0.297775,0.3358931,0.5569453,0.6393036,0.5980286,-0.6054471,0.297775,0.3358931,0.5569453,0.6393036,0.5980286,38,40,42,44,46,48
-0.0451101,-0.100016,-0.0588611,-0.1075396,-1.263497,-0.2193851,-0.4835024,-0.5774241,-0.1599923,-0.4305152,0.0847286,-0.3918363,-0.4835024,-0.5774241,-0.1599923,-0.4305152,0.0847286,-0.3918363,34,36,38,40,42,44
-0.4382952,-0.1461724,-0.8098134,0.1048566,0.0155928,-0.1421936,-0.4758866,-0.371629,0.5002114,0.1143415,-0.1496568,-0.4138275,-0.4758866,-0.371629,0.5002114,0.1143415,-0.1496568,-0.4138275,38,40,42,44,46,48
-0.1265343,-0.0214757,0.0418779,0.1108438,-1.556741,-2.35074,-0.21511,-0.3859131,-0.4055139,-0.1585419,-0.1273825,-0.1453392,-0.21511,-0.3859131,-0.4055139,-0.1585419,-0.1273825,-0.1453392,50,52,54,56,58,60
-0.0449652,-0.1387888,-0.1893046,-0.1006587,-0.1799538,0.4332635,-0.0404042,0.2260856,0.017047,0.018715,0.2991849,0.059598,-0.0404042,0.2260856,0.017047,0.018715,0.2991849,0.059598,29,31,33,35,37,39
0.2758895,-0.3624673,-0.4188266,-0.3707938,0.1433415,0.5710149,0.1026564,-0.0470933,-0.0399379,-0.004444,0.1035453,-0.1009444,0.1026564,-0.0470933,-0.0399379,-0.004444,0.1035453,-0.1009444,37,39,41,43,45,47
-0.5006464,0.3118345,0.8611538,-0.3403424,-0.5200737,0.1880743,-0.3590093,0.076303,0.1376157,-0.0922494,0.3927493,-0.1554093,-0.3590093,0.076303,0.1376157,-0.0922494,0.3927493,-0.1554093,39,41,43,45,47,49
